Fiscal Year,Library,County,Principal Public?,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Collection,Collection Per Capita Served,Total Operating Income,Wages & Salaries Expenditures
1996,Andover,Tolland,P,109,2815,15000,5.3,1313,0.47,499,0.2,17028,5.6,117,860,15285,5.4,56300,30996
1996,Ansonia,New Haven,P,158,17825,91756,5.1,6952,0.39,,,71301,3.5,153,4525,63685,3.6,320679,201621
1996,Ashford-Babcock,Windham,P,131,3969,8665,2.2,1360,0.34,207,0.1,34574,8.6,22,780,23818,6,111699,62295
1996,Avon,Hartford,P,19,14143,162893,11.5,8808,0.62,15283,1.1,226137,11.9,345,9501,74903,5.3,685678,340400
1996,Beacon Falls,New Haven,P,129,5351,7000,1.3,1379,0.26,400,0.1,8880,1.7,22,223,10042,1.9,40806,21585
1996,Berlin-Peck,Hartford,P,52,16792,,,8142,0.48,6081,0.4,217517,11.6,376,,92322,5.5,638641,320919
1996,Bethany - Clark,New Haven,P,54,4845,19500,4,3100,0.64,696,0.1,40500,8.3,45,395,32178,6.6,46497,21720
1996,Bethel,Fairfield,P,74,17921,155316,8.7,12546,0.7,16796,0.9,136014,6.7,186,4706,83123,4.6,375789,229724
1996,Bethlehem,Litchfield,P,73,3324,17478,5.3,1952,0.59,,,33532,9.9,37,670,22966,6.9,62571,37448
1996,Bloomfield - Prosser,Hartford,P,55,18546,,,9156,0.49,15408,0.8,194144,8.4,418,9935,118282,6.4,708697,531196
1996,Bolton - Bentley,Tolland,P,93,4792,15600,3.3,3575,0.75,784,0.2,43919,8.1,141,1801,33141,6.9,147439,99110
1996,Branford - Blackstone,New Haven,P,53,28043,650000,23.2,23305,0.83,54000,1.9,154942,5,351,5967,91927,3.3,621874,381143
1996,Branford - Willoughby,New Haven,N,53,,6000,0.2,2500,0.09,3000,0.1,41688,1.3,30,1800,31210,1.1,108198,58214
1996,Bridgeport,Fairfield,P,168,136817,278032,2,45448,0.33,164721,1.2,348993,2.4,392,7509,487537,3.6,3009981,1877779
1996,Bridgewater - Burnham,Litchfield,P,21,1724,14127,8.2,841,0.49,,,21751,12,78,4796,30897,17.9,80676,49708
1996,Bristol,Hartford,P,136,59658,105925,1.8,19974,0.33,20828,0.3,311762,4.9,477,13389,139195,2.3,1202928,756008
1996,Brookfield,Fairfield,P,38,14691,113765,7.7,6818,0.46,14716,1,145604,9.2,177,5737,59060,4,360844,220873
1996,Brooklyn,Windham,P,149,6642,14040,2.1,2492,0.38,1500,0.2,27209,4.1,18,647,19047,2.9,74007,31033
1996,Burlington,Hartford,P,71,7656,28425,3.7,2691,0.35,960,0.1,45574,5.7,79,1561,28644,3.7,116564,75091
1996,Canaan - David Hunt,Litchfield,P,40,1272,14456,11.4,667,0.52,,,15724,10.3,144,1757,25680,20.2,71512,26784
1996,Canterbury,Windham,P,152,4658,4420,0.9,1138,0.24,,,11715,2.5,,,12511,2.7,28563,13859
1996,Canton,Hartford,P,64,8453,15964,1.9,7120,0.84,,,37061,4,156,,45947,5.4,229595,122102
1996,Chaplin,Windham,P,135,2183,3120,1.4,572,0.26,,,6865,3.1,,,13726,6.3,22270,12191
1996,Cheshire,New Haven,P,65,26691,74625,2.8,22500,0.84,17017,0.6,211014,7,50,521,100162,3.8,816549,626715
1996,Chester,Middlesex,P,61,3621,22000,6.1,2700,0.75,937,0.3,32773,8.5,44,1049,14354,4,42441,26781
